listing_id,neighbourhood,zipcode,price
7675994,East Village,10009,100
7676721,Bensonhurst,11204,50
7677565,Alphabet City,10009,80
7678187,Bedford-Stuyvesant,11216,110
7679047,Windsor Terrace,11218,175
7679091,Ditmars / Steinway,11370,179
7681478,Williamsburg,11211,58
7682094,Williamsburg,11211,500
7688839,Boerum Hill,11201,147
7691908,Upper West Side,10025,100
7692660,Hunts Point,10474,40
7693424,Flatbush,11226,100
7694064,Clinton Hill,11238,77
7695043,Boerum Hill,11201,150
7696314,Hell's Kitchen,10036,70
7697256,Upper West Side,10024,130
7697425,Williamsburg,11249,99
7698642,Hamilton Heights,10031,89
7700741,Harlem,10027,69
7707191,Upper East Side,10075,80
7709026,Bedford-Stuyvesant,11221,62
7709150,Bedford-Stuyvesant,11221,52
7709241,Bedford-Stuyvesant,11221,52
7709582,Bedford-Stuyvesant,11221,55
7709661,,11221,52
7711161,Chinatown,10002,75
7711451,Little Italy,10013,90
7711899,Washington Heights,10033,42
7712634,Carroll Gardens,11201,75
7714152,,11203,51
7714664,East New York,11207,72
7716148,Cobble Hill,11201,145
7717071,Harlem,10026,40
7717785,Washington Heights,10033,150
7718452,Carroll Gardens,11231,147
7718995,Upper West Side,10023,182
7725075,Long Island City,11101,70
7725496,Jamaica,11435,45
7725573,Harlem,10027,75
7728553,Carroll Gardens,11231,150
7728860,Greenpoint,11222,135
7729804,Crown Heights,11216,50
7733651,Boerum Hill,11201,180
7740527,Harlem,10027,60
7744805,Harlem,10027,153
7745868,Williamsburg,11206,45
7746303,Harlem,10027,150
7746872,East Harlem,10029,195
7747237,Harlem,10027,90
7748135,Bushwick,11206,60
7748355,East Village,10003,129
7757549,Chelsea,10011,210
7760406,Chelsea,10011,200
7764285,Williamsburg,11211,185
7769946,Fort Greene,11238,160
7771170,Woodside,11377,500
7771351,Pelham Bay,10461,59
7772705,Harlem,10030,80
7773322,Williamsburg,11206,60
7774373,Chelsea,10011,245
7774722,Williamsburg,11249,761
7775128,Chelsea,10011,225
7775627,Financial District,10006,160
7776880,Hell's Kitchen,10036,499
7780335,Williamsburg,11211,150
7783855,Bedford-Stuyvesant,11233,155
7787983,Jamaica,11434,52
7790911,Gravesend,11223,69
7791635,Eastchester,10475,57
7796643,,10018,150
7798935,Flatbush,11230,90
7799045,Harlem,10027,173
7800079,,11206,100
7803475,Upper West Side,10023,374
7804337,,11211,94
7806322,East New York,11207,155
7807792,Sunnyside,11104,62
7808565,Williamsburg,11206,75
7808567,Williamsburg,11211,80
7809302,Park Slope,11215,150
7809878,Crown Heights,11216,85
7810109,Ridgewood,11385,65
7816449,,10013,575
7816930,Bushwick,11237,79
7817446,Washington Heights,10032,135
7820664,Chelsea,10011,490
7823121,Upper West Side,10025,80
7823495,Chelsea,10011,800
7823546,Williamsburg,11206,65
7826033,Hamilton Heights,10031,59
7827817,Astoria,11102,101
7828204,Sunnyside,11104,50
7834712,Bedford-Stuyvesant,11216,110
7834765,Clinton Hill,11205,90
7835778,Kensington,11218,38
7836591,Williamsburg,11206,70
7837685,,11213,80
7839972,Midtown,10016,239
7841904,Meatpacking District,10014,75
7842221,Williamsburg,11211,250
7842597,Upper West Side,10025,90
7843122,Upper West Side,10023,149
7843320,Williamsburg,11211,150
7843582,Crown Heights,11216,119
7846162,East Village,10009,389
7851877,,11211,75
7853584,Hamilton Heights,10030,80
7856749,Boerum Hill,11217,116
7858023,Alphabet City,10009,400
